Adapaleno                 |Biosintetica  | Differin   | 1 mg/g                  | Gel                                           | C2 - Venda Sob Prescricao Medicas    | Lista C2 -  substancias Retinoicas                                               | NAO CONSTA
Bromazepam                |Biosintetica  | Lexotan    | 3 mg; 6 mg              | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Bromazepam                |EMS           | Lexotan    | 3 mg; 6 mg              | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Bromazepam                |EMS           | Lexotan    | 2,5 mg/ml               | Solucao  oral                                 | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Bromazepam                |Eurofarma     | Lexotan    | 3 mg; 6 mg              | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Bromazepam                |Medley        | Lexotan    | 3 mg; 6 mg              | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Bromazepam                |Merck         | Lexotan    | 3 mg; 6 mg              | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Bromazepam                |Nature's Plus | Lexotan    | 3 mg; 6 mg              | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Bromazepam                |Nature's Plus | Lexotan    | 2,5 mg/ml               | Solucao  oral                                 | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Bromazepam                |Sandoz        | Lexotan    | 3 mg; 6 mg              | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Bromazepam                |Sigma Pharma  | Lexotan    | 2,5 mg/ml               | Solucao  oral                                 | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Bromazepam                |Teuto         | Lexotan    | 3 mg; 6 mg              | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Bromazepam                |Uniao Quimica | Lexotan    | 3 mg; 6 mg              | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Bromidrato de Citalopram  |AB Farmo      | Cipramil   | 20 mg                   | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Carbamazepina             |Abbott        | Tegretol   | 200 mg; 400 mg          | Comprimido                                    | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Carbamazepina             |Biosintetica  | Tegretol   | 200 mg                  | Comprimido                                    | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Carbamazepina             |EMS           | Tegretol   | 400 mg; 200 mg          | Comprimido                                    | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Carbamazepina             |Eurofarma     | Tegretol   | 200 mg                  | Comprimido                                    | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Carbamazepina             |Medley        | Tegretol   | 200 mg; 400 mg          | Comprimido                                    | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Carbamazepina             |Medley        | Tegretol   | 20 mg/ml                | Suspensao oral                                | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Carbamazepina             |Germed        | Tegretol   | 400 mg; 200 mg          | Comprimido                                    | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Carbamazepina             |Neo Quimica   | Tegretol   | 200 mg                  | Comprimido                                    | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Carbamazepina             |Novartis      | Tegretol   | 400 mg; 200 mg          | Comprimido                                    | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Carbamazepina             |Novartis      | Tegretol   | 20 mg/ml                | Suspensao oral                                | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Carbamazepina             |Sanval        | Tegretol   | 200 mg                  | Comprimido                                    | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Carbamazepina             |Teuto         | Tegretol   | 200 mg; 400 mg          | Comprimido                                    | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Amitriptilin|Germed        | Tryptanol  | 25 mg ;75 mg            | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Amitriptilin|Legrand       | Tryptanol  | 25 mg; 75 mg            | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Amitriptilin|Medley        | Tryptanol  | 25 mg; 75 mg            | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Amitriptilin|Mepha         | Tryptanol  | 25 mg; 75 mg            | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Amitriptilin|Neo Quimica   | Tryptanol  | 25 mg                   | Comprimido                                    | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Amitriptilin|Ranbaxy       | Tryptanol  | 25 mg; 75 mg            | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Amitriptilin|Sigma Pharma  | Tryptanol  | 25 mg; 75 mg            | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Amitriptilin|Teuto         | Tryptanol  | 25 mg                   | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Anfepramona |EMS           | Hipofagin S| 25 mg                   | Comprimido                                    | B2 - Notificacao de Receita - B2     | Lista B2-   substancias psicotropicas Anorexigenas                               | NAO CONSTA
Cloridrato de Anfepramona |EMS           | Hipofagin S| 75 mg                   | Comprimido de liberacao lenta                 | B2 - Notificacao de Receita - B2     | Lista B2-   substancias psicotropicas Anorexigenas                               | NAO CONSTA
Cloridrato de Anfepramona |Nature's Plus | Hipofagin S| 25 mg                   | Comprimido                                    | B2 - Notificacao de Receita - B2     | Lista B2-   substancias psicotropicas Anorexigenas                               | NAO CONSTA
Cloridrato de Anfepramona |Nature's Plus | Hipofagin S| 75 mg                   | Comprimido de liberacao  lenta                | B2 - Notificacao de Receita - B2     | Lista B2-   substancias psicotropicas Anorexigenas                               | NAO CONSTA
Cloridrato de Anfepramona |Sigma Pharma  | Hipofagin S| 25 mg                   | Comprimido                                    | B2 - Notificacao de Receita - B2     | Lista B2-   substancias psicotropicas Anorexigenas                               | NAO CONSTA
Cloridrato de Anfepramona |Sigma Pharma  | Hipofagin S| 75 mg                   | Comprimido de liberacao lenta                 | B2 - Notificacao de Receita - B2     | Lista B2-   substancias psicotropicas Anorexigenas                               | NAO CONSTA
Cloridrato de Biperideno  |Abbott        | Akineton   | 2 mg                    | Comprimido                                    | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Bupropiona  |Eurofarma     | Wellbutrin | 150 mg                  | desintegracao lenta                           | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Bupropiona  |Eurofarma     | Zyban      | 150 mg                  | Comprimido revestido de desintegracao lenta   | C1 - Receita lentade Controle Especia| Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Clomipramina|EMS           | Anafranil  | 10 mg; 25 mg            | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Clomipramina|Nature's Plus | Anafranil  | 10 mg; 25 mg            | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Clomipramina|Sigma Pharma  | Anafranil  | 10 mg; 25 mg            | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Fluoxetina  |Biosintetica  | Prozac     | 20 mg                   | Capsula gelatinosa dura                       | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Fluoxetina  |EMS           | Prozac     | 20 mg                   | Capsula gelatinosa dura                       | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Fluoxetina  |EMS           | Daforin    | 10 mg                   | Capsula gelatinosa dura                       | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Fluoxetina  |EMS           | Daforin    | 20 mg                   | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Fluoxetina  |EMS           | Daforin    | 20 mg/ml                | Solucao  oral                                 | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Fluoxetina  |Legrand       | Daforin    | 10 mg                   | Capsula gelatinosa dura                       | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Fluoxetina  |Medley        | Prozac     | 20 mg                   | Capsula gelatinosa dura                       | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Nortriptilin|Medley        | Pamelor    | 50mg; 75mg              | Capsula gelatinosa dura                       | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Nortriptilin|Novartis      | Pamelor    | 25 mg e 10mg            | Capsula gelatinosa dura                       | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Nortriptilin|Ranbaxy       | Pamelor    | 25 mg; 50 mg; 75 mg     | Capsula gelatinosa dura                       | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Paroxetina  |Farmasa       | Aropax     | 20 mg                   | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Paroxetina  |Arrow         | Aropax     | 20 mg                   | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Paroxetina  |Biosintetica  | Aropax     | 20 mg                   | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Paroxetina  |Brainfarma    | Aropax     | 20 mg                   | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Paroxetina  |Eurofarma     | Aropax     | 20 mg                   | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Paroxetina  |Medley        | Aropax     | 20 mg                   | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Paroxetina  |Mepha         | Aropax     | 20 mg                   | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Paroxetina  |Merck         | Aropax     | 20 mg                   | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Paroxetina  |Ranbaxy       | Aropax     | 20 mg                   | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Paroxetina  |Zydus         | Aropax     | 20 mg                   | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Petidina    |Uniao Quimica | Dolantina  | 50 mg/ml                | Solucao injetavel                             | A1 - Uso Restrito a Hospital         | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Selegilina  |Biosintetica  | Jumexil    | 5 mg                    | Comprimido                                    | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Sertralina  |AB Farmo      | Zoloft     | 50 mg; 100 mg           | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Sertralina  |Arrow         | Zoloft     | 50 mg; 100 mg           | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Sertralina  |Biosintetica  | Zoloft     | 50 mg                   | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Sertralina  |Brainfarma    | Zoloft     | 50 mg                   | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Sertralina  |EMS           | Zoloft     | 50 mg; 100 mg           | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Sertralina  |Eurofarma     | Zoloft     | 50 mg; 100 mg           | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Sertralina  |Medley        | Zoloft o   | 50 mg                   | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Sertralina  |Mepha         | Zoloft     | 50 mg                   | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Sertralina  |Merck         | Zoloft     | 50 mg                   | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Sertralina  |Nature's Plus | Zoloft     | 50 mg; 100 mg           | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Sertralina  |Sandoz        | Zoloft     | 50 mg                   | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Sertralina  |Ranbaxy       | Zoloft     | 50 mg                   | Comprimido revestido                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Tramadol    |Mepha         | Tramal     | 100 mg/ml               | Solucao  oral                                 | A2 - Receita de Controle Especial    | Lista A2 -  substancias Entorpecentes de uso permitido somente em concentracoes  | NAO CONSTA
Cloridrato de Tramadol    |Nature's Plus | Tramal     | 50 mg                   | Capsula gelatinosa dura                       | A2 - Receita de Controle Especial    | Lista A2 -  substancias Entorpecentes de uso permitido somente em concentracoes  | NAO CONSTA
Cloridrato de Tramadol    |Nature's Plus | Tramal     | 50 mg/ml                | Solucao injetavel                             | A2 - Receita de Controle Especial    | Lista A2 -  substancias Entorpecentes de uso permitido somente em concentracoes  | NAO CONSTA
Cloridrato de Tramadol    |Nature's Plus | Tramal     | 100 mg/ml               | Solucao  oral                                 | A2 - Receita de Controle Especial    | Lista A2 -  substancias Entorpecentes de uso permitido somente em concentracoes  | NAO CONSTA
Cloridrato de Tramadol    |Nature's Plus | Sylador    | 50 mg/ml                | Solucao  oral                                 | A2 - Receita de Controle Especial    | Lista A2 -  substancias Entorpecentes de uso permitido somente em concentracoes  | NAO CONSTA
Cloridrato de Tramadol    |Sandoz        | Tramal     | 50 mg                   | Capsula gelatinosa dura                       | A2 - Receita de Controle Especial    | Lista A2 -  substancias Entorpecentes de uso permitido somente em concentracoes  | NAO CONSTA
Cloridrato de Tramadol    |Sigma Pharma  | Tramal     | 50 mg                   | Capsula gelatinosa dura                       | A2 - Receita de Controle Especial    | Lista A2 -  substancias Entorpecentes de uso permitido somente em concentracoes  | NAO CONSTA
Cloridrato de Tramadol    |Sigma Pharma  | Tramal     | 50 mg/ml                | Solucao injetavel                             | A2 - Receita de Controle Especial    | Lista A2 -  substancias Entorpecentes de uso permitido somente em concentracoes  | NAO CONSTA
Cloridrato de Tramadol    |Sigma Pharma  | Tramal     | 100 mg/ml               | Solucao  oral                                 | A2 - Receita de Controle Especial    | Lista A2 -  substancias Entorpecentes de uso permitido somente em concentracoes  | NAO CONSTA
Cloridrato de Tramadol    |Sigma Pharma  | Sylador    | 50 mg/ml                | Solucao  oral                                 | A2 - Receita de Controle Especial    | Lista A2 -  substancias Entorpecentes de uso permitido somente em concentracoes  | NAO CONSTA
Cloridrato de Tramadol    |Teuto         | Tramal     | 50 mg                   | Capsula gelatinosa dura                       | A2 - Receita de Controle Especial    | Lista A2 -  substancias Entorpecentes de uso permitido somente em concentracoes  | NAO CONSTA
Cloridrato de Tramadol    |Teuto         | Tramal     | 50 mg/ml                | Solucao injetavel                             | A2 - Receita de Controle Especial    | Lista A2 -  substancias Entorpecentes de uso permitido somente em concentracoes  | NAO CONSTA
Cloridrato de Tramadol    |Uniao Quimica | Tramal     | 50 mg/ml                | Solucao injetavel                             | A2 - Receita de Controle Especial    | Lista A2 -  substancias Entorpecentes de uso permitido somente em concentracoes  | NAO CONSTA
Cloridrato de Venlafaxina |Biosintetica  | Efexor     | 37,5 mg, 50 mg e 75 mg  | Comprimido                                    | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Venlafaxina |Eurofarma     | Efexor XR  | 75 mg; 150 mg           | Capsula gelatinosa dura                       | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloridrato de Venlafaxina |Medley        | Efexor XR  | 75 mg; 150 mg           | Capsula gelatinosa dura                       | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Cloxazolam                |Eurofarma     | Olcadil    | 1 mg; 2 mg; 4 mg        | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Cloxazolam                |Novartis      | Olcadil    | 1 mg; 2 mg; 4 mg        | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Diazepam                  |EMS           | Valium     | 5 mg; 10 mg             | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Diazepam                  |Hipolabor     | Valium     | 5 mg/ml                 | Solucao injetavel                             | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Diazepam                  |Nature's Plus | Valium     | 5 mg/ml                 | Solucao injetavel                             | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Diazepam                  |Ranbaxy       | Valium     | 5 mg; 10 mg             | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Diazepam                  |Sigma Pharma  | Valium     | 5 mg; 10 mg             | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Diazepam                  |Teuto         | Valium     | 5 mg/ml                 | Solucao injetavel                             | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Diazepam                  |Uniao Quimica | Valium     | 5 mg/mL                 | Solucao injetavel                             | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Efavirenz                 |Fundacao Osval| StocrinCruz| 600mg                   | Comprimido revestido                          | C4 - Receita de Controle Especial    | Lista C4 -  substancias Anti-Retrovirais                                         | NAO CONSTA 
Enflurano                 |Biochimico    | Etrane     | 1 mg/ml                 | Solucao  p/ inalacao                          | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA 
Etomidato                 |Cristalia     | Hypnomidate| 2 mg/ml                 | Solucao injetavel                             | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA 
Fenitoina                 |Cazi          | Hidantal   | 100 mg                  | Comprimido                                    | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA 
Fenitoina                 |Sanofi-Aventis| Hidantal   | 100 mg                  | Comprimido                                    | C1 - Receita de Controle Especial    |  Lista C1 -  Outras substancias sujeitas a Controle Especial                     | NAO CONSTA 
Fenitoina                 |Teuto         | Hidantal   | 100 mg                  | Comprimido                                    | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Fenitoina Sodica          |Sanofi-Aventis| Hidantal   | 50 mg/ml                | Solucao injetavel                             | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Fenitoina Sodica          |Teuto         | Hidantal   | 50 mg/ml                | Solucao injetavel                             | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Fenitoina Sodica          |Uniao Quimica | Hidantal   | 50 mg/ml                | Solucao injetavel                             | C1 - Receita de Controle Especial    | Lista C1 -  Outras substancias sujeitas a Controle Especial                      | NAO CONSTA
Fenobarbital              |Neo Quimica   | Gardenal   | 100 mg                  | Comprimido                                    | B1 - Receita de Controle Especial    | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Fenobarbital              |Sanofi-Aventis| Gardenal   | 100 mg                  | Comprimido                                    | B1 - Receita de Controle Especial    | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA 
Fenobarbital              |Sanval        | Gardenal   | 40 mg/ml                | Solucao  oral                                 | B1 - Receita de Controle Especial    | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Fenobarbital              |Teuto         | Gardenal   | 100 mg                  | Comprimido                                    | B1 - Receita de Controle Especial    | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Fenobarbital              |Uniao Quimica | Gardenal   | 100 mg                  | Comprimido                                    | B1 - Receita de Controle Especial    | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Maleato de Midazolam      |Eurofarma     | Dormonid   | 15 mg                   | Comprimido revestido                          | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Maleato de Midazolam      |Medley        | Dormonid   | 7,5 mg; 15 mg           | Comprimido revestido                          | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Maleato de Midazolam      |Mepha         | Dormonid   | 7,5 mg; 15 mg           | Comprimido revestido                          | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
